ID,Adj,Condition,Condition2,IDMean,Used,,,,,,
20-brave-CnC,brave,CnC,Cn,5.888888889,n,,,,,,
20-brave-CnD,brave,CnD,Cn,3.3,n,,,,,,
21-brave-CnC,brave,CnC,Cn,6.4,n,,,,,,
21-brave-CnD,brave,CnD,Cn,3.111111111,n,,,,,,
24-brave-CnC,brave,CnC,Cn,7,n,,,,,,
24-brave-CnD,brave,CnD,Cn,3.375,n,,,,,,
38-foolish-CnC,foolish,CnC,Cn,5.5,n,,Count of Used,Used,,,
38-foolish-CnD,foolish,CnD,Cn,2,n,,ID,n,y,(blank),Grand Total
39-foolish-CnC,foolish,CnC,Cn,5.416666667,n,,1-smart-CnC,,1,,1
39-foolish-CnD,foolish,CnD,Cn,1.1,n,,1-smart-CnD,,1,,1
40-foolish-CnC,foolish,CnC,Cn,4.181818182,n,,1-smart-CxC,,1,,1
40-foolish-CnD,foolish,CnD,Cn,1.75,n,,1-smart-CxD,,1,,1
14-fortunate-CnC,fortunate,CnC,Cn,5.285714286,n,,10-stupid-CnC,,1,,1
14-fortunate-CnD,fortunate,CnD,Cn,1.666666667,n,,10-stupid-CnD,,1,,1
17-fortunate-CnC,fortunate,CnC,Cn,5.416666667,n,,10-stupid-CxC,,1,,1
17-fortunate-CnD,fortunate,CnD,Cn,2.4,n,,10-stupid-CxD,,1,,1
18-fortunate-CnC,fortunate,CnC,Cn,6.272727273,n,,11-stupid-CnC,1,,,1
18-fortunate-CnD,fortunate,CnD,Cn,1.666666667,n,,11-stupid-CnD,1,,,1
25-lucky-CnC,lucky,CnC,Cn,5.4,n,,11-stupid-CxC,1,,,1
25-lucky-CnD,lucky,CnD,Cn,1.363636364,n,,11-stupid-CxD,1,,,1
26-lucky-CnC,lucky,CnC,Cn,5.2,n,,12-stupid-CnC,1,,,1
26-lucky-CnD,lucky,CnD,Cn,1.555555556,n,,12-stupid-CnD,1,,,1
27-lucky-CnC,lucky,CnC,Cn,6.555555556,n,,12-stupid-CxC,1,,,1
27-lucky-CnD,lucky,CnD,Cn,2.3,n,,12-stupid-CxD,1,,,1
57-mean-CnC,mean,CnC,Cn,6.7,n,,13-fortunate-CnC,,1,,1
57-mean-CnD,mean,CnD,Cn,1.428571429,n,,13-fortunate-CnD,,1,,1
58-mean-CnC,mean,CnC,Cn,6.666666667,n,,13-fortunate-CxC,1,,,1
58-mean-CnD,mean,CnD,Cn,1.083333333,n,,13-fortunate-CxD,1,,,1
60-mean-CnC,mean,CnC,Cn,6.454545455,n,,14-fortunate-CnC,1,,,1
60-mean-CnD,mean,CnD,Cn,1,n,,14-fortunate-CnD,1,,,1
44-polite-CnC,polite,CnC,Cn,6.083333333,n,,14-fortunate-CxC,1,,,1
44-polite-CnD,polite,CnD,Cn,1.222222222,n,,14-fortunate-CxD,1,,,1
45-polite-CnC,polite,CnC,Cn,5.7,n,,15-fortunate-CnC,,1,,1
45-polite-CnD,polite,CnD,Cn,1,n,,15-fortunate-CnD,,1,,1
48-polite-CnC,polite,CnC,Cn,6,n,,15-fortunate-CxC,,1,,1
48-polite-CnD,polite,CnD,Cn,1.9,n,,15-fortunate-CxD,,1,,1
49-rude-CnC,rude,CnC,Cn,5.428571429,n,,16-fortunate-CnC,,1,,1
49-rude-CnD,rude,CnD,Cn,1.416666667,n,,16-fortunate-CnD,,1,,1
51-rude-CnC,rude,CnC,Cn,4.625,n,,16-fortunate-CxC,1,,,1
51-rude-CnD,rude,CnD,Cn,1.454545455,n,,16-fortunate-CxD,1,,,1
54-rude-CnC,rude,CnC,Cn,5.5,n,,17-fortunate-CnC,1,,,1
54-rude-CnD,rude,CnD,Cn,1.333333333,n,,17-fortunate-CnD,1,,,1
2-smart-CnC,smart,CnC,Cn,5.9,n,,17-fortunate-CxC,,1,,1
2-smart-CnD,smart,CnD,Cn,1.1,n,,17-fortunate-CxD,,1,,1
3-smart-CnC,smart,CnC,Cn,6.666666667,n,,18-fortunate-CnC,1,,,1
3-smart-CnD,smart,CnD,Cn,2.5,n,,18-fortunate-CnD,1,,,1
6-smart-CnC,smart,CnC,Cn,6.8,n,,18-fortunate-CxC,,1,,1
6-smart-CnD,smart,CnD,Cn,1.375,n,,18-fortunate-CxD,,1,,1
11-stupid-CnC,stupid,CnC,Cn,6.3,n,,19-brave-CnC,,1,,1
11-stupid-CnD,stupid,CnD,Cn,2.625,n,,19-brave-CnD,,1,,1
12-stupid-CnC,stupid,CnC,Cn,6.777777778,n,,19-brave-CxC,1,,,1
12-stupid-CnD,stupid,CnD,Cn,1.8,n,,19-brave-CxD,1,,,1
7-stupid-CnC,stupid,CnC,Cn,6.285714286,n,,2-smart-CnC,1,,,1
7-stupid-CnD,stupid,CnD,Cn,1.444444444,n,,2-smart-CnD,1,,,1
32-wise-CnC,wise,CnC,Cn,6.833333333,n,,2-smart-CxC,,1,,1
32-wise-CnD,wise,CnD,Cn,2.666666667,n,,2-smart-CxD,,1,,1
34-wise-CnC,wise,CnC,Cn,5.875,n,,20-brave-CnC,1,,,1
34-wise-CnD,wise,CnD,Cn,3.2,n,,20-brave-CnD,1,,,1
36-wise-CnC,wise,CnC,Cn,6.222222222,n,,20-brave-CxC,,1,,1
36-wise-CnD,wise,CnD,Cn,1.8,n,,20-brave-CxD,,1,,1
19-brave-CxC,brave,CxC,Cx,6.6,n,,21-brave-CnC,1,,,1
19-brave-CxD,brave,CxD,Cx,4.111111111,n,,21-brave-CnD,1,,,1
23-brave-CxC,brave,CxC,Cx,5.875,n,,21-brave-CxC,,1,,1
23-brave-CxD,brave,CxD,Cx,3.777777778,n,,21-brave-CxD,,1,,1
24-brave-CxC,brave,CxC,Cx,5.181818182,n,,22-brave-CnC,,1,,1
24-brave-CxD,brave,CxD,Cx,3,n,,22-brave-CnD,,1,,1
40-foolish-CxC,foolish,CxC,Cx,4.888888889,n,,22-brave-CxC,,1,,1
40-foolish-CxD,foolish,CxD,Cx,1.3,n,,22-brave-CxD,,1,,1
41-foolish-CxC,foolish,CxC,Cx,5.833333333,n,,23-brave-CnC,,1,,1
41-foolish-CxD,foolish,CxD,Cx,2.444444444,n,,23-brave-CnD,,1,,1
42-foolish-CxC,foolish,CxC,Cx,6.7,n,,23-brave-CxC,1,,,1
